name;rect
Cancha Futbol;POLYGON((-7886797.91 -3974892.34,-7886797.91 -3974758.31,-7886652.52 -3974758.31,-7886652.52 -3974892.34,-7886797.91 -3974892.34))
Parque Avenida Las Flores;POLYGON((-7886758.25 -3956233.66,-7886758.25 -3955693.82,-7886347.41 -3955693.82,-7886347.41 -3956233.66,-7886758.25 -3956233.66))
Cementerio Malloco;POLYGON((-7886635.28 -3976084.52,-7886635.28 -3975750.11,-7886231.59 -3975750.11,-7886231.59 -3976084.52,-7886635.28 -3976084.52))
Club Lo Aguirre;POLYGON((-7886609.03 -3955149.21,-7886609.03 -3954830.92,-7886292.46 -3954830.92,-7886292.46 -3955149.21,-7886609.03 -3955149.21))
Planta Tratamiento Aguas Servidas El Trebal;POLYGON((-7886578.39 -3967591,-7886578.39 -3966693.08,-7884626.81 -3966693.08,-7884626.81 -3967591,-7886578.39 -3967591))
Unimarc Ciudad de Los Valles;POLYGON((-7886396.82 -3955074.62,-7886396.82 -3954963.75,-7886306.66 -3954963.75,-7886306.66 -3955074.62,-7886396.82 -3955074.62))
Cancha Golf Laguna Carén;POLYGON((-7886374.56 -3953851.52,-7886374.56 -3953136.57,-7885359.31 -3953136.57,-7885359.31 -3953851.52,-7886374.56 -3953851.52))
Escuela de Suboficiales del Ejército;POLYGON((-7886330.48 -3962610.12,-7886330.48 -3961458.91,-7884575.43 -3961458.91,-7884575.43 -3962610.12,-7886330.48 -3962610.12))
Cementerio Malloco;POLYGON((-7886276.96 -3976522.92,-7886276.96 -3976091.76,-7885058.9 -3976091.76,-7885058.9 -3976522.92,-7886276.96 -3976522.92))
Laguna Las Lilas;POLYGON((-7885388.41 -3947469.97,-7885388.41 -3946788.72,-7884738.7 -3946788.72,-7884738.7 -3947469.97,-7885388.41 -3947469.97))
Escuela de Sub Oficiales;POLYGON((-7885264.11 -3961734.95,-7885264.11 -3961582.08,-7885099.29 -3961582.08,-7885099.29 -3961734.95,-7885264.11 -3961734.95))
Centro de Modelamiento Radiocontrolado PUC;POLYGON((-7885035.57 -3935227.36,-7885035.57 -3934826.07,-7884557.85 -3934826.07,-7884557.85 -3935227.36,-7885035.57 -3935227.36))
Aerorescate;POLYGON((-7884986.11 -3953929.93,-7884986.11 -3953873.92,-7884944.2 -3953873.92,-7884944.2 -3953929.93,-7884986.11 -3953929.93))
Escuela de Sub Oficiales;POLYGON((-7884965.53 -3961725.4,-7884965.53 -3961560.59,-7884810.26 -3961560.59,-7884810.26 -3961725.4,-7884965.53 -3961725.4))
Laguna del Sol;POLYGON((-7884945.22 -3970173.02,-7884945.22 -3970006.36,-7884710.11 -3970006.36,-7884710.11 -3970173.02,-7884945.22 -3970173.02))
Río Mapocho;POLYGON((-7884167.68 -3954493.44,-7884167.68 -3943483.54,-7846178.51 -3943483.54,-7846178.51 -3954493.44,-7884167.68 -3954493.44))
Los Tilos;POLYGON((-7884136.09 -3979540.9,-7884136.09 -3978958.29,-7883300.68 -3978958.29,-7883300.68 -3979540.9,-7884136.09 -3979540.9))
Cancha Villa Los Maitenes;POLYGON((-7884132.21 -3969910.18,-7884132.21 -3969874.15,-7884093.68 -3969874.15,-7884093.68 -3969910.18,-7884132.21 -3969910.18))
Fundo los Tilos;POLYGON((-7884004.31 -3979006.31,-7884004.31 -3978252.96,-7883059.13 -3978252.96,-7883059.13 -3979006.31,-7884004.31 -3979006.31))
Camino La Primavera - Loteo Las Garzas - Parcela 13;POLYGON((-7883936.2 -3978314.56,-7883936.2 -3978176.54,-7883807.95 -3978176.54,-7883807.95 -3978314.56,-7883936.2 -3978314.56))
Lomas de Lo Aguirre;POLYGON((-7883913.73 -3956095.02,-7883913.73 -3955867.5,-7883815.79 -3955867.5,-7883815.79 -3956095.02,-7883913.73 -3956095.02))
Club de Golf Mapocho;POLYGON((-7883782.96 -3953334.34,-7883782.96 -3950486.61,-7880708.64 -3950486.61,-7880708.64 -3953334.34,-7883782.96 -3953334.34))
Plaza Villa Cristal Chile;POLYGON((-7883768.9 -3970305.09,-7883768.9 -3970171.47,-7883661.07 -3970171.47,-7883661.07 -3970305.09,-7883768.9 -3970305.09))
Casa de Retiro Espiritual Loyola;POLYGON((-7883715.46 -3971180.03,-7883715.46 -3970643.78,-7883291.09 -3970643.78,-7883291.09 -3971180.03,-7883715.46 -3971180.03))
Cristalerias de Chile;POLYGON((-7883560.39 -3970783,-7883560.39 -3970026.87,-7882812.27 -3970026.87,-7882812.27 -3970783,-7883560.39 -3970783))
Colegio Comodoro Arturo Merino Benitez;POLYGON((-7883487.44 -3946595.36,-7883487.44 -3946453.71,-7883274.98 -3946453.71,-7883274.98 -3946595.36,-7883487.44 -3946595.36))
Cancha Villa Cristal;POLYGON((-7883388.99 -3970033.72,-7883388.99 -3969873.68,-7883252.84 -3969873.68,-7883252.84 -3970033.72,-7883388.99 -3970033.72))
Colegio Benjamin Vergara;POLYGON((-7883360.4 -3970938.09,-7883360.4 -3970664.67,-7883065.16 -3970664.67,-7883065.16 -3970938.09,-7883360.4 -3970938.09))
Bodegas San Francisco;POLYGON((-7883340.02 -3956529.84,-7883340.02 -3954945.08,-7879610.63 -3954945.08,-7879610.63 -3956529.84,-7883340.02 -3956529.84))
Plaza Padre Hurtado;POLYGON((-7883245.22 -3971415.88,-7883245.22 -3971175.22,-7883026.9 -3971175.22,-7883026.9 -3971415.88,-7883245.22 -3971415.88))
Plaza Padre Hurtado;POLYGON((-7883198.88 -3971128.11,-7883198.88 -3971051.67,-7883129.25 -3971051.67,-7883129.25 -3971128.11,-7883198.88 -3971128.11))
Cancha;POLYGON((-7882792.11 -3972150.11,-7882792.11 -3971987.96,-7882644.95 -3971987.96,-7882644.95 -3972150.11,-7882792.11 -3972150.11))
Escuela Basica Brasilia;POLYGON((-7882670.41 -3971170.14,-7882670.41 -3971060,-7882548.36 -3971060,-7882548.36 -3971170.14,-7882670.41 -3971170.14))
Colegio Polivalente Patricio Mekis;POLYGON((-7882642.35 -3971981.42,-7882642.35 -3971789.14,-7882449.47 -3971789.14,-7882449.47 -3971981.42,-7882642.35 -3971981.42))
Baselli;POLYGON((-7882587.04 -3970741.72,-7882587.04 -3970323.31,-7882127.6 -3970323.31,-7882127.6 -3970741.72,-7882587.04 -3970741.72))
